Уровень	Дата и время	Источник	Код события	Категория задачи
Сведения	13.09.2017 17:46:17	EventLog	6005	Отсутствует	Запущена служба журнала событий.
Сведения	13.09.2017 17:46:17	EventLog	6009	Отсутствует	Microsoft (R) Windows (R) 10.00. 15063  Multiprocessor Free.
Сведения	13.09.2017 17:45:03	Microsoft-Windows-Dhcp-Client	50037	Событие состояния службы	Остановка клиентской службы DHCPv4. Значение флага завершения работы: 1
Сведения	13.09.2017 17:45:03	Microsoft-Windows-Dhcp-Client	50106	Событие состояния службы	DHCPv4 ожидает остановки службы DHCPv6
Сведения	13.09.2017 17:45:03	Microsoft-Windows-DHCPv6-Client	51057	Событие состояния службы	Служба DHCPv6-клиента почти остановлена. Количество ссылок контекста DHCP: 1
Сведения	13.09.2017 17:45:03	Microsoft-Windows-DHCPv6-Client	51057	Событие состояния службы	Служба DHCPv6-клиента почти остановлена. Количество ссылок контекста DHCP: 1
Сведения	13.09.2017 17:45:03	Microsoft-Windows-DHCPv6-Client	51047	Событие состояния службы	Клиентская служба DHCPv6 остановлена. Значение флага завершения работы: 1
Сведения	13.09.2017 17:45:03	Microsoft-Windows-Dhcp-Client	50105	Событие состояния службы	DHCPv4-клиент ProcessDHCPRequestForever получил событие TERMINATE_EVENT
Сведения	13.09.2017 17:45:03	Microsoft-Windows-Dhcp-Client	50104	Событие состояния службы	DHCPv4-клиент получил уведомление о завершении работы
Сведения	13.09.2017 17:45:03	EventLog	6006	Отсутствует	Служба журнала событий остановлена.
Ошибка	13.09.2017 17:41:30	Service Control Manager	7043	Отсутствует	"Служба ""Update Orchestrator Service"" не завершила работу должным образом после получения управления для выполнения предзавершающих операций."
Сведения	13.09.2017 17:40:42	Microsoft-Windows-Winlogon	7002	(1102)	Уведомление о выходе пользователя для программы улучшения качества ПО
Сведения	13.09.2017 17:40:32	Microsoft-Windows-GroupPolicy	1500	Отсутствует	Параметры групповой политики для этого компьютера обработаны успешно. Не обнаружено изменений со времени последней успешной обработки групповой политики.
Сведения	13.09.2017 17:40:32	Microsoft-Windows-GroupPolicy	1501	Отсутствует	Параметры групповой политики для этого пользователя обработаны успешно. Не обнаружено изменений со времени последней успешной обработки групповой политики.
Сведения	13.09.2017 17:40:26	User32	1074	Отсутствует	"Процесс c:\windows\system32\svchost.exe (DESKTOP-8RQ6Q4N) инициировал действие ""Перезапустить"" для компьютера DESKTOP-8RQ6Q4N от имени пользователя NT AUTHORITY\СИСТЕМА по причине: Операционная система: Установка пакета обновления (Запланирован
 Код причины: 0x80020010
 Тип выключения: Перезапустить
 Комментарий: "
Сведения	13.09.2017 16:10:54	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения	13.09.2017 16:08:40	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения	13.09.2017 16:02:35	Microsoft-Windows-Power-Troubleshooter	1	Отсутствует	"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2017‎-‎09‎-‎13T03:58:45.826377400Z
Время выхода из спящего режима: ‎2017‎-‎09‎-‎13T09:02:31.148166200Z

Источник выхода: Устройство -USB Root Hub"
Ошибка	13.09.2017 16:02:35	Microsoft-Windows-DistributedCOM	10016	Отсутствует	"Параметры разрешений для конкретного приложения не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 и APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 пользователю NT AUTHORITY\СИСТЕМА с ИД безопасности (S-1-5-18) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Недоступно с ИД безопасности (Недоступно). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Сведения	13.09.2017 16:02:34	Microsoft-Windows-Time-Service	37	Отсутствует	NTP-клиент поставщика времени получает действительные данные о времени от time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->51.140.127.197:123).
Предупреждение	13.09.2017 16:02:32	Microsoft-Windows-Time-Service	134	Отсутствует	"NTP-клиенту не удалось задать настроенный вручную узел в качестве источника времени из-за ошибки разрешения DNS-имен на ""time.windows.com,0x9"". NTP-клиент повторит попытку через 15 мин., а затем удвоит интервал между попытками. Ошибка: Этот хост неизвестен. (0x80072AF9)"
Предупреждение	13.09.2017 16:02:30	Microsoft-Windows-Time-Service	134	Отсутствует	"NTP-клиенту не удалось задать настроенный вручную узел в качестве источника времени из-за ошибки разрешения DNS-имен на ""time.windows.com,0x9"". NTP-клиент повторит попытку через 15 мин., а затем удвоит интервал между попытками. Ошибка: Этот хост неизвестен. (0x80072AF9)"
Сведения	13.09.2017 16:02:30	Microsoft-Windows-Kernel-Power	131	(33)	Значения времени встроенного ПО для S3. ResumeCount: 1, FullResume: 480, AverageResume: 480
Сведения	13.09.2017 16:02:30	EventLog	6013	Отсутствует	Время работоспособного состояния 36528 сек.
Сведения	13.09.2017 16:02:30	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎13T03:58:49.686314800Z на ‎2017‎-‎09‎-‎13T09:02:30.500000000Z.

Причина изменения: Системное время синхронизировано с аппаратными часами."
Сведения	13.09.2017 10:58:49	Microsoft-Windows-Kernel-Power	107	(102)	Система возобновила работу после режима сна.
Сведения	13.09.2017 10:58:48	Microsoft-Windows-Kernel-Power	42	(64)	"Система переходит в спящий режим.

Причина: Бездействие системы"
Сведения	13.09.2017 7:03:06	Microsoft-Windows-Time-Service	158	Отсутствует	"Поставщик времени ""VMICTimeProvider"" указал, что текущее аппаратное обеспечение и операционная среда не поддерживаются, и их работа остановлена. Это поведение ожидаемо для VMICTimeProvider в средах non-HyperV-guest. Это поведение может быть ожидаемо для текущего поставщика в текущей операционной среде."
Сведения	13.09.2017 6:46:02	Microsoft-Windows-Time-Service	158	Отсутствует	"Поставщик времени ""VMICTimeProvider"" указал, что текущее аппаратное обеспечение и операционная среда не поддерживаются, и их работа остановлена. Это поведение ожидаемо для VMICTimeProvider в средах non-HyperV-guest. Это поведение может быть ожидаемо для текущего поставщика в текущей операционной среде."
Сведения	13.09.2017 6:37:25	Microsoft-Windows-WindowsUpdateClient	19	Агент Центра обновления Windows	Установка завершена: следующее обновление было успешно установлено: Средство удаления вредоносных программ Windows для Windows 8, 8.1, 10 и Windows Server 2012, 2012 R2, 2016 x64 Edition — сентябрь 2017 г. (KB890830)
Сведения	13.09.2017 6:35:17	Microsoft-Windows-WindowsUpdateClient	43	Агент Центра обновления Windows	Установка начата: ОС Windows начала устанавливать следующее обновление: Средство удаления вредоносных программ Windows для Windows 8, 8.1, 10 и Windows Server 2012, 2012 R2, 2016 x64 Edition — сентябрь 2017 г. (KB890830)
Сведения	13.09.2017 6:32:07	Microsoft-Windows-WindowsUpdateClient	43	Агент Центра обновления Windows	Установка начата: ОС Windows начала устанавливать следующее обновление: Накопительное обновление для Windows 10 Version 1703 для систем на базе процессоров x64, 2017 09 (KB4038788)
Сведения	13.09.2017 6:32:04	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Установщик модулей Windows"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения	13.09.2017 6:31:59	Microsoft-Windows-WindowsUpdateClient	19	Агент Центра обновления Windows	Установка завершена: следующее обновление было успешно установлено: Обновление системы безопасности для Adobe Flash Player for Windows 10 Version 1703 для систем на базе процессоров x64 (KB4038806), 09.2017
Сведения	13.09.2017 6:31:54	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Установщик модулей Windows"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения	13.09.2017 6:31:51	Microsoft-Windows-WindowsUpdateClient	43	Агент Центра обновления Windows	Установка начата: ОС Windows начала устанавливать следующее обновление: Обновление системы безопасности для Adobe Flash Player for Windows 10 Version 1703 для систем на базе процессоров x64 (KB4038806), 09.2017
Сведения	13.09.2017 6:31:48	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Установщик модулей Windows"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения	13.09.2017 6:28:58	Microsoft-Windows-Time-Service	158	Отсутствует	"Поставщик времени ""VMICTimeProvider"" указал, что текущее аппаратное обеспечение и операционная среда не поддерживаются, и их работа остановлена. Это поведение ожидаемо для VMICTimeProvider в средах non-HyperV-guest. Это поведение может быть ожидаемо для текущего поставщика в текущей операционной среде."
Сведения	13.09.2017 6:11:54	Microsoft-Windows-Time-Service	158	Отсутствует	"Поставщик времени ""VMICTimeProvider"" указал, что текущее аппаратное обеспечение и операционная среда не поддерживаются, и их работа остановлена. Это поведение ожидаемо для VMICTimeProvider в средах non-HyperV-guest. Это поведение может быть ожидаемо для текущего поставщика в текущей операционной среде."
Сведения	13.09.2017 6:11:24	Microsoft-Windows-UserModePowerService	22	(18)	Восстановить параметры питания после завершения подготовки включения модуля 5
Сведения	13.09.2017 6:11:15	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения	13.09.2017 6:06:03	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Установщик модулей Windows"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения	13.09.2017 6:04:33	Microsoft-Windows-Kernel-General	15	Отсутствует	Куст \??\C:\WINDOWS\System32\SMI\Store\Machine\SCHEMA.DAT был реорганизован; исходный размер: 12378112 байт, итоговый размер: 11706368 байт.
Сведения	13.09.2017 6:04:02	Lfsvc	2	Отсутствует	Определение географического положения отключено пользователем.
Сведения	13.09.2017 5:58:31	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Фоновая интеллектуальная служба передачи (BITS)"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения	13.09.2017 5:57:54	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\Users\VladlenMacro\AppData\Local\Packages\microsoft.windowscommunicationsapps_8wekyb3d8bbwe\Settings\settings.dat очищен; обновлено разделов: 47; создано измененных страниц: 3.
Сведения	13.09.2017 5:57:27	Microsoft-Windows-Winlogon	7001	(1101)	Уведомление о входе пользователя для программы улучшения качества ПО
Сведения	13.09.2017 5:56:18	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Установщик модулей Windows"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения	13.09.2017 5:55:44	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
Сведения	13.09.2017 5:55:44	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
Сведения	13.09.2017 5:55:42	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
Сведения	13.09.2017 5:54:34	Microsoft-Windows-Time-Service	158	Отсутствует	"Поставщик времени ""VMICTimeProvider"" указал, что текущее аппаратное обеспечение и операционная среда не поддерживаются, и их работа остановлена. Это поведение ожидаемо для VMICTimeProvider в средах non-HyperV-guest. Это поведение может быть ожидаемо для текущего поставщика в текущей операционной среде."
Сведения	13.09.2017 5:54:34	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎12T19:13:10.791392100Z на ‎2017‎-‎09‎-‎12T22:54:34.175000000Z.

Причина изменения: Время изменено приложением или компонентом системы."
Сведения	13.09.2017 2:13:04	Service Control Manager	7026	Отсутствует	"Следующие драйверы загрузки или запуска системы не загружены: 
dam"
Сведения	13.09.2017 2:12:36	Microsoft-Windows-WLAN-AutoConfig	4000	Отсутствует	"Служба автонастройки беспроводной сети запущена успешно.
"
Сведения	13.09.2017 2:12:35	Microsoft-Windows-UserModePowerService	12	(10)	Процесс C:\Windows\System32\atieclxx.exe (ИД процесса: 1812) изменил схему политики с {381B4222-F694-41F0-9685-FF5BB260DF2E} на {381B4222-F694-41F0-9685-FF5BB260DF2E}
Сведения	13.09.2017 2:12:35	avgntflt	17	Отсутствует	avgntflt.sys successfully loaded
Сведения	13.09.2017 2:12:35	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""avgntflt"" (версия 6.3, ‎2017‎-‎07‎-‎10T21:59:26.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	13.09.2017 2:12:35	Microsoft-Windows-DHCPv6-Client	51046	Событие состояния службы	Служба клиента DHCPv6 запущена
Сведения	13.09.2017 2:12:35	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""storqosflt"" (версия 10.0, ‎2015‎-‎12‎-‎18T10:36:27.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Ошибка	13.09.2017 2:12:35	Service Control Manager	7000	Отсутствует	"Сбой при запуске службы ""CldFlt"" из-за ошибки 
Такой запрос не поддерживается."
Сведения	13.09.2017 2:12:35	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""luafv"" (версия 10.0, ‎2037‎-‎06‎-‎08T16:55:59.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	13.09.2017 2:12:35	Microsoft-Windows-Dhcp-Client	50103	Событие состояния службы	DHCPv4-клиент зарегистрирован для уведомления о завершении работы
Сведения	13.09.2017 2:12:35	Microsoft-Windows-Dhcp-Client	50036	Событие состояния службы	Служба клиента DHCPv4 запущена
Сведения	13.09.2017 2:12:35	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""wcifs"" (версия 10.0, ‎2079‎-‎07‎-‎16T01:50:57.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	13.09.2017 2:12:34	Microsoft-Windows-Directory-Services-SAM	16962	Отсутствует	"Удаленные вызовы к базе данных SAM запрещены с помощью дескриптора безопасности по умолчанию: O:SYG:SYD:(A;;RC;;;BA).
Для получения дополнительных сведений см. http://go.microsoft.com/fwlink/?LinkId=787651."
Сведения	13.09.2017 2:12:34	Microsoft-Windows-Wininit	14	Отсутствует	Конфигурация Credential Guard (LsaIso.exe): 0x0, 0
Сведения	13.09.2017 2:12:29	Microsoft-Windows-Ntfs	98	Отсутствует	Том \\?\Volume{154e8991-6b1f-42dc-ad2d-ac5ac1ccb8c3} (\Device\HarddiskVolume1) работоспособен.  Не требуется никаких действий.
Сведения	13.09.2017 2:12:29	Microsoft-Windows-Ntfs	98	Отсутствует	Том \\?\Volume{1ff3b2f7-c3a6-453e-8bd7-bd476df67d73} (\Device\HarddiskVolume9) работоспособен.  Не требуется никаких действий.
Сведения	13.09.2017 2:12:29	Microsoft-Windows-Ntfs	98	Отсутствует	Том D: (\Device\HarddiskVolume6) работоспособен.  Не требуется никаких действий.
Сведения	13.09.2017 2:12:25	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 3 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	13.09.2017 2:12:25	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 2 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	13.09.2017 2:12:25	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 1 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	13.09.2017 2:12:25	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 0 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	13.09.2017 2:12:22	Microsoft-Windows-Kernel-Power	172	(203)	Состояние подключения в режиме ожидания: Отключено, причина: Соответствие сетевых карт требованиям
Сведения	13.09.2017 2:12:22	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""npsvctrig"" (версия 10.0, ‎2097‎-‎07‎-‎25T17:18:05.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	13.09.2017 2:12:22	avipbb	17	Отсутствует	avipbb.sys successfully loaded
Сведения	13.09.2017 2:12:21	avkmgr	17	Отсутствует	avkmgr.sys successfully loaded
Сведения	13.09.2017 2:12:21	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""FileCrypt"" (версия 10.0, ‎2030‎-‎05‎-‎28T15:10:59.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	13.09.2017 2:12:21	Microsoft-Windows-Ntfs	98	Отсутствует	Том C: (\Device\HarddiskVolume5) работоспособен.  Не требуется никаких действий.
Сведения	13.09.2017 2:12:20	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""Wof"" (версия 10.0, ‎1974‎-‎03‎-‎12T05:47:45.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	13.09.2017 2:12:20	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""FileInfo"" (версия 10.0, ‎2042‎-‎06‎-‎30T21:43:32.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	13.09.2017 2:12:19	Microsoft-Windows-Kernel-Boot	30	(21)	Встроенное ПО сообщило метрики загрузки.
Сведения	13.09.2017 2:12:19	Microsoft-Windows-Kernel-Boot	32	Отсутствует	Диспетчер загрузки затратил 0 мс на ожидание ввода данных пользователем.
Сведения	13.09.2017 2:12:19	Microsoft-Windows-Kernel-Boot	18	Отсутствует	Число вариантов загрузки данной системы: 0x1.
Сведения	13.09.2017 2:12:19	Microsoft-Windows-Kernel-Boot	25	(32)	Использовалась следующая политика меню загрузки: 0x1.
Сведения	13.09.2017 2:12:19	Microsoft-Windows-Kernel-Boot	27	(33)	Использовался следующий тип загрузки: 0x0.
Сведения	13.09.2017 2:12:19	Microsoft-Windows-Kernel-Boot	20	(31)	Состояние успешного выполнения последнего завершения работы: true. Состояние успешного выполнения последней загрузки: true.
Сведения	13.09.2017 2:12:19	Microsoft-Windows-Kernel-Boot	153	Отсутствует	Безопасность на основе виртуализации (политики: 0) — отключено.
Сведения	13.09.2017 2:12:19	Microsoft-Windows-Kernel-General	12	(1)	Системное время запуска операционной системы: ‎2017‎-‎09‎-‎12T19:12:18.485047800Z.
Сведения	13.09.2017 6:57:59	Microsoft-Windows-Kernel-General	13	(2)	Системное время завершения работы операционной системы: ‎2017‎-‎09‎-‎12T23:57:59.573323000Z.
Сведения	13.09.2017 6:57:57	Microsoft-Windows-Kernel-Power	109	(103)	"Диспетчер питания ядра инициировал завершение работы.

Причина завершения работы: API ядра"
Сведения	13.09.2017 6:57:57	Microsoft-Windows-WLAN-AutoConfig	4001	Отсутствует	"Служба автонастройки беспроводной сети остановлена успешно.
"
Сведения	13.09.2017 2:12:35	EventLog	6013	Отсутствует	Время работоспособного состояния 16 сек.
Сведения	13.09.2017 2:12:35	EventLog	6005	Отсутствует	Запущена служба журнала событий.
Сведения	13.09.2017 2:12:35	EventLog	6009	Отсутствует	Microsoft (R) Windows (R) 10.00. 15063  Multiprocessor Free.
Сведения	13.09.2017 6:57:56	Service Control Manager	7026	Отсутствует	"Следующие драйверы загрузки или запуска системы не загружены: 
dam"
Сведения	13.09.2017 6:57:56	Microsoft-Windows-Dhcp-Client	50037	Событие состояния службы	Остановка клиентской службы DHCPv4. Значение флага завершения работы: 1
Сведения	13.09.2017 6:57:56	Microsoft-Windows-DHCPv6-Client	51057	Событие состояния службы	Служба DHCPv6-клиента почти остановлена. Количество ссылок контекста DHCP: 1
Сведения	13.09.2017 6:57:56	Microsoft-Windows-DHCPv6-Client	51057	Событие состояния службы	Служба DHCPv6-клиента почти остановлена. Количество ссылок контекста DHCP: 1
Сведения	13.09.2017 6:57:56	Microsoft-Windows-DHCPv6-Client	51047	Событие состояния службы	Клиентская служба DHCPv6 остановлена. Значение флага завершения работы: 1
Сведения	13.09.2017 6:57:56	Microsoft-Windows-Dhcp-Client	50106	Событие состояния службы	DHCPv4 ожидает остановки службы DHCPv6
Сведения	13.09.2017 6:57:55	Microsoft-Windows-Dhcp-Client	50105	Событие состояния службы	DHCPv4-клиент ProcessDHCPRequestForever получил событие TERMINATE_EVENT
Ошибка	13.09.2017 6:57:55	Service Control Manager	7001	Отсутствует	"Служба ""AntiVirWebService"" является зависимой от службы ""AntiVirService"", которую не удалось запустить из-за ошибки 
Операция успешно завершена."
Ошибка	13.09.2017 6:57:55	Service Control Manager	7001	Отсутствует	"Служба ""AntiVirMailService"" является зависимой от службы ""AntiVirService"", которую не удалось запустить из-за ошибки 
Операция успешно завершена."
Сведения	13.09.2017 6:57:55	Microsoft-Windows-Dhcp-Client	50104	Событие состояния службы	DHCPv4-клиент получил уведомление о завершении работы
Сведения	13.09.2017 6:57:56	EventLog	6006	Отсутствует	Служба журнала событий остановлена.
Сведения	13.09.2017 6:57:54	User32	1074	Отсутствует	"Процесс C:\WINDOWS\system32\winlogon.exe (DESKTOP-8RQ6Q4N) инициировал действие ""Перезапустить"" для компьютера DESKTOP-8RQ6Q4N от имени пользователя NT AUTHORITY\СИСТЕМА по причине: Причина на перечислена
 Код причины: 0x500ff
 Тип выключения: Перезапустить
 Комментарий: "
Сведения	13.09.2017 6:57:43	Microsoft-Windows-WLAN-AutoConfig	4000	Отсутствует	"Служба автонастройки беспроводной сети запущена успешно.
"
Сведения	13.09.2017 6:57:43	Microsoft-Windows-UserModePowerService	12	(10)	Процесс C:\Windows\System32\atieclxx.exe (ИД процесса: 1844) изменил схему политики с {381B4222-F694-41F0-9685-FF5BB260DF2E} на {381B4222-F694-41F0-9685-FF5BB260DF2E}
Сведения	13.09.2017 6:57:42	avgntflt	17	Отсутствует	avgntflt.sys successfully loaded
Сведения	13.09.2017 6:57:42	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""avgntflt"" (версия 6.3, ‎2017‎-‎07‎-‎10T21:59:26.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	13.09.2017 6:57:42	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""storqosflt"" (версия 10.0, ‎2015‎-‎12‎-‎18T10:36:27.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Ошибка	13.09.2017 6:57:42	Service Control Manager	7000	Отсутствует	"Сбой при запуске службы ""CldFlt"" из-за ошибки 
Такой запрос не поддерживается."
Сведения	13.09.2017 6:57:42	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""luafv"" (версия 10.0, ‎2037‎-‎06‎-‎08T16:55:59.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	13.09.2017 6:57:42	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""wcifs"" (версия 10.0, ‎2079‎-‎07‎-‎16T01:50:57.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	13.09.2017 6:57:42	Microsoft-Windows-DHCPv6-Client	51046	Событие состояния службы	Служба клиента DHCPv6 запущена
Сведения	13.09.2017 6:57:42	Microsoft-Windows-Dhcp-Client	50103	Событие состояния службы	DHCPv4-клиент зарегистрирован для уведомления о завершении работы
Сведения	13.09.2017 6:57:42	Microsoft-Windows-Dhcp-Client	50036	Событие состояния службы	Служба клиента DHCPv4 запущена
Сведения	13.09.2017 6:57:41	Microsoft-Windows-Directory-Services-SAM	16962	Отсутствует	"Удаленные вызовы к базе данных SAM запрещены с помощью дескриптора безопасности по умолчанию: O:SYG:SYD:(A;;RC;;;BA).
Для получения дополнительных сведений см. http://go.microsoft.com/fwlink/?LinkId=787651."
Сведения	13.09.2017 6:57:41	Microsoft-Windows-Wininit	14	Отсутствует	Конфигурация Credential Guard (LsaIso.exe): 0x0, 0
Сведения	13.09.2017 6:57:36	Microsoft-Windows-Ntfs	98	Отсутствует	Том \\?\Volume{154e8991-6b1f-42dc-ad2d-ac5ac1ccb8c3} (\Device\HarddiskVolume1) работоспособен.  Не требуется никаких действий.
Сведения	13.09.2017 6:57:36	Microsoft-Windows-Ntfs	98	Отсутствует	Том \\?\Volume{1ff3b2f7-c3a6-453e-8bd7-bd476df67d73} (\Device\HarddiskVolume9) работоспособен.  Не требуется никаких действий.
Сведения	13.09.2017 6:57:36	Microsoft-Windows-Ntfs	98	Отсутствует	Том D: (\Device\HarddiskVolume6) работоспособен.  Не требуется никаких действий.
Сведения	13.09.2017 6:57:32	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 3 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	13.09.2017 6:57:32	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 2 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	13.09.2017 6:57:32	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 1 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	13.09.2017 6:57:32	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Процессор 0 в группе 0 обладает следующими возможностями управления питанием:

Тип состояния простоя: Состояния простоя (C) ACPI (состояний: 2)

Тип состояния производительности: Состояния производительности (P) и регулирования (T) ACPI
Номинальная частота (МГц): 1800
Максимальная производительность (в %%): 100
Минимальная производительность (в %%): 55
Минимальное регулирование (в %%): 55"
Сведения	13.09.2017 6:57:29	Microsoft-Windows-Kernel-Power	172	(203)	Состояние подключения в режиме ожидания: Отключено, причина: Соответствие сетевых карт требованиям
Сведения	13.09.2017 6:57:29	Microsoft-Windows-FilterManager	6	Отсутствует	"Фильтр файловой системы ""npsvctrig"" (версия 10.0, ‎2097‎-‎07‎-‎25T17:18:05.000000000Z) успешно загружен и зарегистрирован у диспетчера фильтров."
Сведения	13.09.2017 6:57:29	avipbb	17	Отсутствует	avipbb.sys successfully loaded
Сведения	13.09.2017 6:57:29	avkmgr	17	Отсутствует	avkmgr.sys successfully loaded
