Уровень	Дата и время	Источник	Код события	Категория задачи
Предупреждение	29.09.2017 8:51:13	Microsoft-Windows-Time-Service	134	Отсутствует	"NTP-клиенту не удалось задать настроенный вручную узел в качестве источника времени из-за ошибки разрешения DNS-имен на ""time.windows.com,0x9"". NTP-клиент повторит попытку через 15 мин., а затем удвоит интервал между попытками. Ошибка: Этот хост неизвестен. (0x80072AF9)"
Сведения	29.09.2017 8:51:13	Microsoft-Windows-Kernel-Power	131	(33)	Значения времени встроенного ПО для S3. ResumeCount: 7, FullResume: 459, AverageResume: 459
Сведения	29.09.2017 8:51:13	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎28T19:53:12.895875000Z на ‎2017‎-‎09‎-‎29T01:51:13.500000000Z.

Причина изменения: Системное время синхронизировано с аппаратными часами."
Сведения	29.09.2017 2:53:12	Microsoft-Windows-Kernel-Power	107	(102)	Система возобновила работу после режима сна.
Сведения	29.09.2017 2:53:09	Microsoft-Windows-Kernel-Power	42	(64)	"Система переходит в спящий режим.

Причина: Бездействие системы"
Сведения	28.09.2017 21:42:22	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎28T14:42:22.723135500Z на ‎2017‎-‎09‎-‎28T14:42:22.723000000Z.

Причина изменения: Время изменено приложением или компонентом системы."
Сведения	28.09.2017 21:42:22	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎28T14:42:24.853924100Z на ‎2017‎-‎09‎-‎28T14:42:22.716034700Z.

Причина изменения: Время изменено приложением или компонентом системы."
Сведения	28.09.2017 21:42:24	Microsoft-Windows-Time-Service	37	Отсутствует	NTP-клиент поставщика времени получает действительные данные о времени от time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->13.79.239.69:123).
Сведения	28.09.2017 19:26:02	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Установщик модулей Windows"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения	28.09.2017 19:25:33	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Установщик модулей Windows"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения	28.09.2017 19:24:02	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Установщик модулей Windows"" был изменен с ""Автоматически"" на ""Вручную""."
Сведения	28.09.2017 19:16:49	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\WINDOWS\System32\SMI\Store\Machine\SCHEMA.DAT очищен; обновлено разделов: 1; создано измененных страниц: 1.
Сведения	28.09.2017 19:16:05	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \SystemRoot\System32\Config\RegBack\SAM очищен; обновлено разделов: 51; создано измененных страниц: 6.
Сведения	28.09.2017 19:16:05	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \SystemRoot\System32\Config\RegBack\DEFAULT очищен; обновлено разделов: 4317; создано измененных страниц: 292.
Сведения	28.09.2017 19:16:03	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \SystemRoot\System32\Config\RegBack\SYSTEM очищен; обновлено разделов: 14151; создано измененных страниц: 1559.
Сведения	28.09.2017 19:15:56	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \SystemRoot\System32\Config\RegBack\SOFTWARE очищен; обновлено разделов: 133846; создано измененных страниц: 16199.
Сведения	28.09.2017 19:15:52	Service Control Manager	7040	Отсутствует	"Тип запуска службы ""Установщик модулей Windows"" был изменен с ""Вручную"" на ""Автоматически""."
Сведения	28.09.2017 19:15:45	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \SystemRoot\System32\Config\RegBack\SECURITY очищен; обновлено разделов: 80; создано измененных страниц: 7.
Сведения	28.09.2017 17:52:41	Microsoft-Windows-WindowsUpdateClient	19	Агент Центра обновления Windows	Установка завершена: следующее обновление было успешно установлено: 9WZDNCRFHVQM-microsoft.windowscommunicationsapps
Сведения	28.09.2017 17:52:33	Microsoft-Windows-WindowsUpdateClient	43	Агент Центра обновления Windows	Установка начата: ОС Windows начала устанавливать следующее обновление: 9WZDNCRFHVQM-microsoft.windowscommunicationsapps
Сведения	28.09.2017 17:52:33	Microsoft-Windows-WindowsUpdateClient	19	Агент Центра обновления Windows	Установка завершена: следующее обновление было успешно установлено: 9NBLGGH42THS-Microsoft.Microsoft3DViewer
Сведения	28.09.2017 17:52:33	Microsoft-Windows-WindowsUpdateClient	43	Агент Центра обновления Windows	Установка начата: ОС Windows начала устанавливать следующее обновление: 9NBLGGH42THS-Microsoft.Microsoft3DViewer
Сведения	28.09.2017 17:52:33	Microsoft-Windows-WindowsUpdateClient	19	Агент Центра обновления Windows	Установка завершена: следующее обновление было успешно установлено: 9NBLGGH4RV3K-Microsoft.VCLibs.140.00.UWPDesktop
Сведения	28.09.2017 17:52:31	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\Users\VladlenMacro\AppData\Local\Packages\Microsoft.Microsoft3DViewer_8wekyb3d8bbwe\Settings\settings.dat очищен; обновлено разделов: 1; создано измененных страниц: 1.
Сведения	28.09.2017 17:52:30	Microsoft-Windows-WindowsUpdateClient	43	Агент Центра обновления Windows	Установка начата: ОС Windows начала устанавливать следующее обновление: 9NBLGGH4RV3K-Microsoft.VCLibs.140.00.UWPDesktop
Сведения	28.09.2017 17:52:20	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\microsoft.windowscommunicationsapps_17.8500.40955.0_x64__8wekyb3d8bbwe\ActivationStore.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения	28.09.2017 17:52:18	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Microsoft3DViewer_2.1709.8012.0_x64__8wekyb3d8bbwe\ActivationStore.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения	28.09.2017 17:52:13	Microsoft-Windows-WindowsUpdateClient	19	Агент Центра обновления Windows	Установка завершена: следующее обновление было успешно установлено: 9WZDNCRFJ3P2-Microsoft.ZuneVideo
Сведения	28.09.2017 17:52:05	Microsoft-Windows-WindowsUpdateClient	43	Агент Центра обновления Windows	Установка начата: ОС Windows начала устанавливать следующее обновление: 9WZDNCRFJ3P2-Microsoft.ZuneVideo
Сведения	28.09.2017 17:52:03	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\Users\VladlenMacro\AppData\Local\Packages\Microsoft.ZuneVideo_8wekyb3d8bbwe\Settings\settings.dat очищен; обновлено разделов: 3; создано измененных страниц: 1.
Сведения	28.09.2017 17:51:55	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.ZuneVideo_10.17082.14121.0_x64__8wekyb3d8bbwe\ActivationStore.dat очищен; обновлено разделов: 0; создано измененных страниц: 0.
Сведения	28.09.2017 17:51:51	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
Сведения	28.09.2017 17:51:17	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
Сведения	28.09.2017 17:51:17	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
Сведения	28.09.2017 17:51:17	Microsoft-Windows-WindowsUpdateClient	44	Агент Центра обновления Windows	Центр обновления Windows начал скачивать обновление.
Ошибка	28.09.2017 17:47:59	Microsoft-Windows-DistributedCOM	10016	Отсутствует	"Параметры разрешений для конкретного приложения не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 и APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 пользователю NT AUTHORITY\СИСТЕМА с ИД безопасности (S-1-5-18) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Недоступно с ИД безопасности (Недоступно). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Сведения	28.09.2017 17:47:53	Microsoft-Windows-Kernel-General	16	Отсутствует	Журнал доступа в кусте \Device\HarddiskVolume2\EFI\Microsoft\Boot\BCD очищен; обновлено разделов: 80; создано измененных страниц: 11.
Сведения	28.09.2017 17:47:48	Microsoft-Windows-Power-Troubleshooter	1	Отсутствует	"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2017‎-‎09‎-‎28T05:40:44.233225800Z
Время выхода из спящего режима: ‎2017‎-‎09‎-‎28T10:47:48.054108700Z

Источник выхода: Устройство -USB Root Hub"
Сведения	28.09.2017 17:47:47	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎28T10:47:47.993209800Z на ‎2017‎-‎09‎-‎28T10:47:47.992000000Z.

Причина изменения: Время изменено приложением или компонентом системы."
Сведения	28.09.2017 17:47:43	Microsoft-Windows-Kernel-Power	131	(33)	Значения времени встроенного ПО для S3. ResumeCount: 6, FullResume: 459, AverageResume: 459
Сведения	28.09.2017 17:47:43	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎28T05:40:48.251309100Z на ‎2017‎-‎09‎-‎28T10:47:43.500000000Z.

Причина изменения: Системное время синхронизировано с аппаратными часами."
Сведения	28.09.2017 12:40:48	Microsoft-Windows-Kernel-Power	107	(102)	Система возобновила работу после режима сна.
Сведения	28.09.2017 12:40:46	Microsoft-Windows-Kernel-Power	42	(64)	"Система переходит в спящий режим.

Причина: Бездействие системы"
Сведения	28.09.2017 12:40:45	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎28T05:40:45.907594600Z на ‎2017‎-‎09‎-‎28T05:40:45.906000000Z.

Причина изменения: Время изменено приложением или компонентом системы."
Сведения	28.09.2017 12:36:16	Microsoft-Windows-Time-Service	37	Отсутствует	NTP-клиент поставщика времени получает действительные данные о времени от time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->13.79.239.69:123).
Сведения	28.09.2017 12:00:00	EventLog	6013	Отсутствует	Время работоспособного состояния 1263334 сек.
Предупреждение	28.09.2017 7:38:25	Microsoft-Windows-DNS-Client	1014	(1014)	Разрешение имен для имени wpad истекло после отсутствия ответа от настроенных серверов DNS.
Сведения	28.09.2017 7:38:25	Microsoft-Windows-Power-Troubleshooter	1	Отсутствует	"Система вышла из состояния пониженного энергопотребления.

Время перехода в спящий режим: ‎2017‎-‎09‎-‎27T22:41:41.964542200Z
Время выхода из спящего режима: ‎2017‎-‎09‎-‎28T00:38:20.319659100Z

Источник выхода: Устройство -USB Root Hub"
Ошибка	28.09.2017 7:38:24	Microsoft-Windows-DistributedCOM	10016	Отсутствует	"Параметры разрешений для конкретного приложения не дают разрешения Локально Активация для приложения COM-сервера с CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 и APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 пользователю NT AUTHORITY\СИСТЕМА с ИД безопасности (S-1-5-18) и адресом LocalHost (с использованием LRPC), выполняемого в контейнере приложения Недоступно с ИД безопасности (Недоступно). Это разрешение безопасности можно изменить с помощью средства администрирования служб компонентов."
Сведения	28.09.2017 7:38:19	Microsoft-Windows-Kernel-Power	131	(33)	Значения времени встроенного ПО для S3. ResumeCount: 5, FullResume: 459, AverageResume: 459
Сведения	28.09.2017 7:38:19	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎27T22:41:47.220759600Z на ‎2017‎-‎09‎-‎28T00:38:19.500000000Z.

Причина изменения: Системное время синхронизировано с аппаратными часами."
Сведения	28.09.2017 5:41:47	Microsoft-Windows-Kernel-Power	107	(102)	Система возобновила работу после режима сна.
Сведения	28.09.2017 5:41:44	Microsoft-Windows-Kernel-Power	42	(64)	"Система переходит в спящий режим.

Причина: Бездействие системы"
Сведения	28.09.2017 3:30:16	Microsoft-Windows-Kernel-General	1	(5)	"Системное время изменено с ‎2017‎-‎09‎-‎27T20:30:16.066921400Z на ‎2017‎-‎09‎-‎27T20:30:16.066000000Z.

Причина изменения: Время изменено приложением или компонентом системы."
Сведения	28.09.2017 3:30:16	Microsoft-Windows-Time-Service	35	Отсутствует	Служба времени выполняет синхронизацию системного времени с источником времени time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->13.79.239.69:123).
